Code_dot,Code_iata,City_name,Airport_name
13433.0,MOT,"Minot, ND",Minot International
13434.0,MOU,"Mountain Village, AK",Mountain Village Airport
16718.0,MOV,"Moranbah, Australia",Moranbah Airport
13435.0,MOW,"Moscow, Russia",Moscow Metropolitan Area
13437.0,MOY,"Monterrey, Colombia",Monterrey Airport
13438.0,MOZ,"Moorea Island, French Polynesia",Temae
13439.0,MPB,"Miami, FL",Watson Island International
16501.0,MPE,"Madison, CT",Griswold
16485.0,MPI,"Mamitupo, Panama",Mamitupo Airport
13441.0,MPJ,"Morrilton, AR",Petit Jean Park
13442.0,MPK,"Mokpo, South Korea",Mokpo Airport
13443.0,MPL,"Montpellier, France",Montpellier Mediterranee
13444.0,MPM,"Maputo, Mozambique",Maputo Airport
13445.0,MPN,"Mount Pleasant, Falkland Islands (Islas Malvinas)",Mount Pleasant Airport
13446.0,MPO,"Mt. Pocono, PA",Pocono Mountains Regional
13447.0,MPR,"McPherson, KS",McPherson Airport
13448.0,MPS,"Mount Pleasant, TX",Mount Pleasant Municipal
13449.0,MPT,"Maliana, Timor-Leste",Maliana Airport
13450.0,MPV,"Montpelier/Barre, VT",Edward F Knapp State
13451.0,MPX,"Miyanmin, Papua New Guinea",Miyanmin Airport
13452.0,MQB,"Macomb, IL",Macomb Municipal
16634.0,MQI,"Quincy, MA",Quincy Airport
13453.0,MQJ,"Indianapolis, IN",Indianapolis Regional
13454.0,MQL,"Mildura, Australia",Mildura Airport
16631.0,MQM,"Mardin, Turkey",Mardin Airport
13455.0,MQN,"Mo I Rana, Norway",Rossvoll
13456.0,MQP,"Nelspruit, South Africa",Kruger Mpumalanga International
13457.0,MQQ,"Moundou, Chad",Moundou Airport
13458.0,MQS,"Mustique, Saint Vincent and the Grenadines",Mustique Airport
13459.0,MQT,"Marquette, MI",Marquette Sawyer Regional
13460.0,MQX,"Mek'ele, Ethiopia",Mekele International
13461.0,MQY,"Smyrna, TN",Smyrna Airport
13462.0,MRA,"Misurata, Libya",Misrata International
13463.0,MRB,"Martinsburg, WV",Eastern WV Regional/Shepherd Field
13464.0,MRC,"Columbia, TN",Maury County Regional
13465.0,MRD,"Merida, Venezuela",Alberto Carnevalli
16679.0,MRF,"Marfa, TX",Marfa Municipal
13466.0,MRH,"Morehead City, NC",Beaufort Morehead City
13467.0,MRI,"Anchorage, AK",Merrill Field
13469.0,MRK,"Marco Island, FL",Marco Island Executive
